"utterance","episode_name","season","episode_number","character"
"If you become friends with Tommy H. or Carol—","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, that’s gross!","Chapter One The Vanishing of Will Byers","1","1",NA
"Okay, I’m telling you, it was a one-time...","Chapter One The Vanishing of Will Byers","1","1",NA
"Two-time thing.","Chapter One The Vanishing of Will Byers","1","1",NA
"[CHUCKLES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"You were saying?","Chapter One The Vanishing of Will Byers","1","1",NA
"Steve...","Chapter One The Vanishing of Will Byers","1","1",NA
"Mmm-hmm?","Chapter One The Vanishing of Will Byers","1","1",NA
"I have to go.","Chapter One The Vanishing of Will Byers","1","1",NA
"In a minute.","Chapter One The Vanishing of Will Byers","1","1",NA
"[BELL RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Steve. I really, like...","Chapter One The Vanishing of Will Byers","1","1",NA
"Seriously, I have to go.","Chapter One The Vanishing of Will Byers","1","1",NA
"Wait, wait, wait. Let’s...","Chapter One The Vanishing of Will Byers","1","1",NA
"Come on, let’s do something tonight, yeah?","Chapter One The Vanishing of Will Byers","1","1",NA
"Uh... No, I can’t. I have to study for Kaminsky’s test.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, come on. What’s your GPA again? 3.999...","Chapter One The Vanishing of Will Byers","1","1",NA
"Kaminsky’s tests are impossible.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, then, just let me help.","Chapter One The Vanishing of Will Byers","1","1",NA
"You failed chem.","Chapter One The Vanishing of Will Byers","1","1",NA
"C-minus.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, in that case...","Chapter One The Vanishing of Will Byers","1","1",NA
"So I’ll be over around, say, like, 8:00?","Chapter One The Vanishing of Will Byers","1","1",NA
"Are you crazy? My mom would not—","Chapter One The Vanishing of Will Byers","1","1",NA
"I’ll climb through your window.","Chapter One The Vanishing of Will Byers","1","1",NA
"She won’t even know I’m there. I’m stealthy like a ninja.","Chapter One The Vanishing of Will Byers","1","1",NA
"You are crazy.","Chapter One The Vanishing of Will Byers","1","1",NA
"Wait, wait, wait. Just... Okay, forget about that.","Chapter One The Vanishing of Will Byers","1","1",NA
"We can just...","Chapter One The Vanishing of Will Byers","1","1",NA
"We can just, like, chill in my car.","Chapter One The Vanishing of Will Byers","1","1",NA
"We can find a nice quiet place to park, and...","Chapter One The Vanishing of Will Byers","1","1",NA
"Steve... I have to study.","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m not kidding.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, why do you think I want it to be nice and quiet?","Chapter One The Vanishing of Will Byers","1","1",NA
"You’re an idiot, Steve Harrington.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SIGHS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Meet me at Dearborn and Maple at 8:00.","Chapter One The Vanishing of Will Byers","1","1",NA
"To study.","Chapter One The Vanishing of Will Byers","1","1",NA
"[BELL RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Good of you to show.","Chapter One The Vanishing of Will Byers","1","1",NA
"[HOPPER SLURRING] Oh, hey, morning, Flo. Morning, everybody.","Chapter One The Vanishing of Will Byers","1","1",NA
"Hey, Chief.","Chapter One The Vanishing of Will Byers","1","1",NA
"Damn! You look like hell, Chief.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, yeah?","Chapter One The Vanishing of Will Byers","1","1",NA
"[CHUCKLES] Yeah.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, I looked better than your wife when I left her this morning.","Chapter One The Vanishing of Will Byers","1","1",NA
"[OFFICERS LAUGHING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"While you were drinking or sleeping,","Chapter One The Vanishing of Will Byers","1","1",NA
"or whatever it is you deemed so necessary on Monday morning,","Chapter One The Vanishing of Will Byers","1","1",NA
"Phil Larson called.","Chapter One The Vanishing of Will Byers","1","1",NA
"Said some kids are stealing the gnomes out of his garden again.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, those garden gnomes again.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, I’ll tell you what, I’m gonna get right on that.","Chapter One The Vanishing of Will Byers","1","1",NA
"On a more pressing matter,","Chapter One The Vanishing of Will Byers","1","1",NA
"Joyce Byers can’t find her son this morning.","Chapter One The Vanishing of Will Byers","1","1",NA
"[MUFFLED] Mmm. Okay, I’m gonna get on that.","Chapter One The Vanishing of Will Byers","1","1",NA
"Just give me a minute.","Chapter One The Vanishing of Will Byers","1","1",NA
"Joyce is very upset.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, Flo, Flo, we’ve discussed this.","Chapter One The Vanishing of Will Byers","1","1",NA
"Mornings are for coffee and contemplation.","Chapter One The Vanishing of Will Byers","1","1",NA
"Chief, she’s already in your—","Chapter One The Vanishing of Will Byers","1","1",NA
"Coffee and contemplation, Flo!","Chapter One The Vanishing of Will Byers","1","1",NA
"I have been waiting here over an hour, Hopper.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SIGHS DEEPLY] And I apologize again.","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m going out of my mind!","Chapter One The Vanishing of Will Byers","1","1",NA
"Look, boy his age, he’s probably just playing hookie, okay?","Chapter One The Vanishing of Will Byers","1","1",NA
"No, not my Will. He’s not like that.","Chapter One The Vanishing of Will Byers","1","1",NA
"He wouldn’t do that.","Chapter One The Vanishing of Will Byers","1","1",NA
"Well, you never know.","Chapter One The Vanishing of Will Byers","1","1",NA
"I mean, my mom thought I was on the debate team,","Chapter One The Vanishing of Will Byers","1","1",NA
"when really I was just screwing Chrissy Carpenter","Chapter One The Vanishing of Will Byers","1","1",NA
"in the back of my dad’s Oldsmobile, so...","Chapter One The Vanishing of Will Byers","1","1",NA
"Look, he’s not like you, Hopper. He’s not like me.","Chapter One The Vanishing of Will Byers","1","1",NA
"He’s not like... most.","Chapter One The Vanishing of Will Byers","1","1",NA
"He has a couple of friends, but, you know, the kids, they’re mean.","Chapter One The Vanishing of Will Byers","1","1",NA
"They make fun of him. They call him names.","Chapter One The Vanishing of Will Byers","1","1",NA
"They laugh at him, his clothes—","Chapter One The Vanishing of Will Byers","1","1",NA
"His clothes?","Chapter One The Vanishing of Will Byers","1","1",NA
"What’s wrong with his clothes?","Chapter One The Vanishing of Will Byers","1","1",NA
"I don’t know.","Chapter One The Vanishing of Will Byers","1","1",NA
"Does that matter?","Chapter One The Vanishing of Will Byers","1","1",NA
"Maybe.","Chapter One The Vanishing of Will Byers","1","1",NA
"Look, he’s... He’s a sensitive kid.","Chapter One The Vanishing of Will Byers","1","1",NA
"Lonnie... [SIGHS] Lonnie used to say he was queer.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SOFTLY] Called him a fag.","Chapter One The Vanishing of Will Byers","1","1",NA
